Year,Make,Model,Price,Mileage,URL
1999,Honda,st,4300,89000,https://www.facebook.com/marketplace/item/434222959216351/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%227801285919893180%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7801285919893180%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A129%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227801285919893180%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2009,Ford,escape,5200,138000,https://www.facebook.com/marketplace/item/1244586746914142/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%228252838761434428%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8252838761434428%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A130%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228252838761434428%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2011,Honda,cr-v,7500,140000,https://www.facebook.com/marketplace/item/826181592936574/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%227991919317559816%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7991919317559816%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A131%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227991919317559816%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2012,Chevrolet,stake,17500,105000,https://www.facebook.com/marketplace/item/1871470513343931/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%228214933921903570%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8214933921903570%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A132%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228214933921903570%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2017,Ford,escape,10500,86000,https://www.facebook.com/marketplace/item/966176748614991/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%227915888278467015%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7915888278467015%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A133%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227915888278467015%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2012,Ford,e250,14250,104000,https://www.facebook.com/marketplace/item/1494022814538378/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%2225665599829750706%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25665599829750706%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A134%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225665599829750706%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2007,Kawasaki,ll,5200,30000,https://www.facebook.com/marketplace/item/2798126157030247/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%228312258678838293%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8312258678838293%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A135%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228312258678838293%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2010,Honda,ridgeline,11500,154000,https://www.facebook.com/marketplace/item/855609403180131/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%2227130541096545522%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A27130541096545522%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A136%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2227130541096545522%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2012,Chevrolet,camaro,11500,98000,https://www.facebook.com/marketplace/item/1565126787753866/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%228280236058707927%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8280236058707927%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A137%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228280236058707927%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
1997,GMC,sierra,1500,122000,https://www.facebook.com/marketplace/item/534561698900799/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%228602563223129120%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8602563223129120%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A138%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228602563223129120%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2011,Mercedes-Benz,c-class,5670,107000,https://www.facebook.com/marketplace/item/394785556950667/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%227890653394355119%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7890653394355119%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A139%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227890653394355119%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2009,MINI,Cooper,3250,145000,https://www.facebook.com/marketplace/item/1168753361017099/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%228125968287487414%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8125968287487414%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A140%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228125968287487414%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2016,Ford,f150,16000,51000,https://www.facebook.com/marketplace/item/380176408439823/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%2226566640369617812%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26566640369617812%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A141%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226566640369617812%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2003,Ford,mustang,3000,141000,https://www.facebook.com/marketplace/item/417846917377326/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%227735109226598687%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7735109226598687%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A142%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227735109226598687%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2003,Ford,f350,5000,132000,https://www.facebook.com/marketplace/item/486559627626754/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%2226362505383394399%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26362505383394399%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A143%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226362505383394399%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2014,Jeep,cherokee,9500,122000,https://www.facebook.com/marketplace/item/420530951003732/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%2226708366212110380%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26708366212110380%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A144%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226708366212110380%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
1999,Mazda,b-series,2800,146000,https://www.facebook.com/marketplace/item/836918894572706/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%227854701901285022%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7854701901285022%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A145%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227854701901285022%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2006,Audi,a4,2500,120000,https://www.facebook.com/marketplace/item/412976984598692/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870607357840588%22%2C%22mf_story_key%22%3A%2226637553442557461%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26637553442557461%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A146%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226637553442557461%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
